StockCode,Quantity,InvoiceDate
85099B,10,01-08-2022
21212,2,01-08-2022
22197,4,01-08-2022
84991,24,01-08-2022
22492,72,01-08-2022
84077,96,01-08-2022
85123A,32,01-08-2022
21212,24,01-08-2022
84991,24,01-08-2023
21212,24,01-08-2023
21977,24,01-08-2023
85099B,10,01-08-2023
85123A,12,01-08-2023
84879,8,01-08-2023
21977,24,01-08-2023
85123A,6,01-08-2023
84879,16,01-08-2023
85099B,1,01-08-2023
85099B,10,01-08-2023
85123A,6,01-08-2023
84879,8,01-08-2023
22197,12,01-08-2023
85123A,12,01-08-2023
84879,16,01-08-2023
22197,1,01-08-2023
22197,8,01-08-2023
85123A,12,01-08-2023
85099B,10,01-08-2023
85123A,12,01-08-2023
85099B,10,01-08-2023
22492,36,01-08-2023
21977,1,01-08-2023
84991,1,01-08-2023
85123A,1,01-08-2023
84879,8,01-08-2023
85099B,300,01-08-2023
17003,36,01-08-2023
17003,36,01-08-2023
84879,32,01-08-2023
85099B,7,01-08-2023
85123A,64,01-09-2022
21212,120,01-09-2022
85099B,-2,01-09-2022
22197,-1,01-09-2022
85099B,-1,01-09-2022
22197,-1,01-09-2022
21977,120,01-09-2022
85123A,2,01-09-2022
85123A,4,01-09-2022
22197,2,01-09-2022
85123A,1,01-09-2022
85123A,32,01-09-2022
84879,24,01-09-2022
21212,2,01-09-2022
85123A,2,01-09-2022
84879,16,01-09-2022
22197,5,01-09-2022
17003,36,01-09-2022
84077,48,01-09-2022
21212,24,01-09-2022
21977,24,01-09-2022
22197,5,01-09-2022
84879,8,01-09-2022
85123A,2,01-09-2022
21212,1,01-09-2022
85123A,6,01-09-2023
85123A,12,01-09-2023
21212,24,01-09-2023
22197,12,01-09-2023
22492,36,01-09-2023
84077,96,01-09-2023
22197,22,01-09-2023
22197,12,01-09-2023
85099B,12,01-09-2023
85123A,32,01-09-2023
84879,40,01-09-2023
85099B,10,01-09-2023
85123A,6,01-09-2023
85099B,12,01-09-2023
21212,3,01-09-2023
85123A,5,01-09-2023
85123A,12,01-09-2023
22197,12,01-09-2023
85099B,30,01-09-2023
22492,1152,01-09-2023
17003,108,01-09-2023
22197,36,01-09-2023
85123A,24,01-09-2023
85099B,4,01-09-2023
21977,24,01-09-2023
84991,24,01-09-2023
21212,24,01-09-2023
85099B,10,01-09-2023
85099B,20,01-09-2023
84879,8,01-09-2023
85099B,3,01-09-2023
84879,48,01-09-2023
21977,24,01-09-2023
84991,24,01-09-2023
21212,24,01-09-2023
22197,3,01-09-2023
85099B,100,01-09-2023
84077,48,01-09-2023
85123A,3,01-09-2023
85123A,12,01-09-2023
22197,4,01-09-2023
22492,36,01-09-2023
85099B,100,01-09-2023
22492,36,01-10-2022
85123A,6,01-10-2022
85123A,6,01-10-2022
85123A,12,01-10-2022
21977,24,01-10-2022
85123A,6,01-10-2022
84991,24,01-10-2022
21212,24,01-10-2022
84879,16,01-10-2022
85099B,10,01-10-2022
85123A,6,01-10-2022
85099B,100,01-10-2022
85123A,12,01-10-2022
21212,24,01-10-2022
84991,2,01-10-2022
22492,36,01-10-2022
85123A,1,01-10-2022
84879,3,01-10-2022
17003,10,01-10-2022
85099B,2,01-10-2022
22197,2,01-10-2022
85123A,4,01-10-2022
85099B,2,01-10-2022
21212,4,01-10-2022
22197,2,01-10-2022
85099B,10,01-10-2022
84879,60,01-10-2022
21212,48,01-10-2022
21977,72,01-10-2022
85123A,192,01-10-2022
85099B,10,01-10-2022
21212,24,01-10-2022
21977,24,01-10-2022
84991,24,01-10-2022
85099B,1,01-10-2022
85099B,20,01-10-2022
21212,24,01-10-2022
22492,36,01-10-2022
21212,1,01-10-2022
21977,1,01-10-2022
22197,1,01-10-2022
85099B,1,01-10-2022
85123A,6,01-11-2022
22197,1,01-11-2022
22197,12,01-11-2022
84879,16,01-11-2022
85123A,18,01-11-2022
85099B,10,01-11-2022
22492,36,01-11-2022
85099B,3,01-11-2022
21212,7,01-11-2022
21977,6,01-11-2022
22197,1,01-11-2022
22492,1,01-11-2022
84077,2,01-11-2022
84991,4,01-11-2022
21212,24,01-11-2022
22197,100,01-11-2022
21212,-24,01-11-2022
85099B,6,01-11-2022
22197,100,01-11-2022
85123A,18,01-11-2022
84879,16,01-11-2022
85099B,10,01-11-2022
84879,8,01-11-2022
85123A,6,01-11-2022
22492,72,01-11-2022
85099B,1,01-11-2022
85123A,1,01-11-2022
21212,24,01-11-2022
84077,48,01-11-2022
21212,2,01-11-2022
85123A,18,01-11-2022
85099B,10,01-11-2022
85123A,6,01-11-2022
21212,24,01-11-2022
84991,24,01-11-2022
21212,24,01-11-2022
85123A,3,01-11-2022
22197,36,01-11-2022
85123A,12,01-11-2022
84879,8,01-11-2022
84991,24,01-11-2022
84077,48,01-11-2022
85123A,6,01-11-2022
22197,11,01-11-2022
84991,1,01-11-2022
85099B,2,01-11-2022
85123A,3,01-11-2022
21212,3,01-11-2022
22492,3,01-11-2022
85099B,30,01-11-2023
84879,24,01-11-2023
22197,36,01-11-2023
22197,-1,01-11-2023
22197,48,01-11-2023
85099B,10,01-11-2023
85099B,20,01-11-2023
22197,24,01-11-2023
84879,160,01-11-2023
85123A,6,01-11-2023
85123A,6,01-11-2023
85123A,2,01-11-2023
22492,36,01-11-2023
21212,1,01-11-2023
84879,22,01-11-2023
85099B,10,01-11-2023
21212,24,01-11-2023
21977,24,01-11-2023
84879,8,01-11-2023
21977,1,01-11-2023
21977,2,01-11-2023
21212,3,01-11-2023
22197,35,01-11-2023
85123A,12,01-11-2023
85123A,2,01-11-2023
22197,16,01-11-2023
85123A,2,01-11-2023
85099B,4,01-11-2023
22197,15,01-11-2023
22197,12,01-11-2023
84879,24,01-11-2023
84879,16,01-11-2023
84879,24,01-11-2023
85123A,5,01-11-2023
85123A,2,01-11-2023
85099B,10,01-11-2023
22197,100,01-11-2023
84879,8,01-11-2023
84879,8,01-11-2023
84991,1,01-11-2023
85123A,2,01-11-2023
84879,16,01-12-2021
85123A,6,01-12-2021
85123A,32,01-12-2021
85099B,20,01-12-2021
21977,24,01-12-2021
84991,24,01-12-2021
21212,24,01-12-2021
84991,24,01-12-2021
85123A,64,01-12-2021
84879,160,01-12-2021
85123A,-192,01-12-2021
85099B,10,01-12-2021
85123A,1,01-12-2021
85123A,32,01-12-2021
22197,10,01-12-2021
84879,8,01-12-2021
84879,800,01-12-2021
85123A,6,01-12-2021
85123A,5,01-12-2021
21212,24,01-12-2021
22197,1,01-12-2021
85099B,5,01-12-2021
84879,96,01-12-2021
22197,3,01-12-2021
85099B,10,01-12-2021
21212,24,01-12-2021
21977,48,01-12-2021
84991,48,01-12-2021
85123A,3,01-12-2021
21212,24,01-12-2021
21212,24,01-12-2021
85099B,20,01-12-2021
84879,64,01-12-2021
84077,48,01-12-2021
85099B,2,01-12-2021
22197,2,01-12-2021
84991,24,01-12-2021
85123A,6,01-12-2021
21977,24,01-12-2021
21212,24,01-12-2021
84991,24,01-12-2021
84879,16,01-12-2021
85123A,6,01-12-2021
84879,8,01-12-2021
21212,18,01-12-2021
21977,3,01-12-2021
22197,6,01-12-2021
84991,5,01-12-2021
85099B,3,01-12-2021
85123A,3,01-12-2021
85099B,10,01-12-2021
85099B,30,01-12-2021
22197,12,01-12-2021
84879,48,01-12-2021
21212,24,01-12-2021
85123A,-1,01-12-2021
85099B,2,01-12-2021
17003,144,01-12-2021
85099B,2,01-12-2021
85099B,20,01-12-2021
85123A,6,01-12-2021
84991,24,01-12-2021
21212,120,01-12-2021
85123A,1,01-12-2021
85099B,30,01-12-2021
85123A,2,01-12-2021
84879,8,01-12-2021
21212,6,01-12-2021
85123A,32,01-12-2021
84879,24,01-12-2021
85123A,12,01-12-2021
85123A,12,01-12-2021
84879,24,01-12-2021
85123A,32,01-12-2021
85123A,6,01-12-2022
84879,32,01-12-2022
22492,36,01-12-2022
85123A,6,01-12-2022
85123A,6,01-12-2022
21212,120,01-12-2022
21977,24,01-12-2022
84991,24,01-12-2022
85099B,100,01-12-2022
85123A,64,01-12-2022
22197,100,01-12-2022
85099B,100,01-12-2022
84879,16,01-12-2022
85123A,32,01-12-2022
84879,32,01-12-2022
21977,24,01-12-2022
84991,24,01-12-2022
21212,24,01-12-2022
85123A,6,01-12-2022
84991,3,01-12-2022
85123A,4,01-12-2022
22197,36,01-12-2022
21212,24,01-12-2022
85123A,8,01-12-2022
84879,8,01-12-2022
21212,24,01-12-2022
22492,36,01-12-2022
22197,2,01-12-2022
85099B,2,01-12-2022
22197,5,01-12-2022
21212,2,01-12-2022
21977,3,01-12-2022
84879,24,01-12-2022
21977,24,01-12-2022
85099B,1,01-12-2022
84879,8,01-12-2022
22197,5,01-12-2022
21977,1,01-12-2022
21212,1,01-12-2022
21212,2,01-12-2022
22197,6,01-12-2022
84879,16,01-12-2022
85123A,6,01-12-2022
85123A,3,01-12-2022
22197,3,01-12-2022
85099B,1,01-12-2022
85099B,10,01-12-2022
84991,24,01-12-2022
21977,24,01-12-2022
21212,24,01-12-2022
22197,72,01-12-2022
84879,80,01-12-2022
22492,36,01-12-2022
85099B,40,01-12-2022
85123A,32,01-12-2022
21977,1,01-12-2022
22197,2,01-12-2022
85099B,1,01-12-2022
85123A,4,01-12-2022
84991,3,01-12-2022
17003,3,01-12-2022
21212,8,01-12-2022
85099B,70,01-12-2022
85123A,128,01-12-2022
85099B,30,01-12-2022
85123A,128,01-12-2022
85099B,200,01-12-2022
17003,36,01-12-2022
85123A,6,01-12-2022
21212,12,01-12-2022
21977,21,01-12-2022
22197,34,01-12-2022
84879,8,01-12-2022
85099B,1,01-12-2022
85123A,9,01-12-2022
85123A,6,01-12-2022
22197,6,01-12-2022
85123A,6,01-12-2022
84879,32,01-12-2022
22492,36,01-12-2022
85123A,6,01-12-2022
85123A,6,01-12-2022
21212,120,01-12-2022
21977,24,01-12-2022
84991,24,01-12-2022
85099B,100,01-12-2022
85123A,64,01-12-2022
22197,100,01-12-2022
85099B,100,01-12-2022
84879,16,01-12-2022
85123A,32,01-12-2022
84879,32,01-12-2022
21977,24,01-12-2022
84991,24,01-12-2022
21212,24,01-12-2022
85123A,6,01-12-2022
84991,3,01-12-2022
85123A,4,01-12-2022
22197,36,01-12-2022
21212,24,01-12-2022
85123A,8,01-12-2022
84879,8,01-12-2022
21212,24,01-12-2022
22492,36,01-12-2022
22197,2,01-12-2022
85099B,2,01-12-2022
22197,5,01-12-2022
21212,2,01-12-2022
21977,3,01-12-2022
84879,24,01-12-2022
21977,24,01-12-2022
85099B,1,01-12-2022
84879,8,01-12-2022
22197,5,01-12-2022
21977,1,01-12-2022
21212,1,01-12-2022
21212,2,01-12-2022
22197,6,01-12-2022
84879,16,01-12-2022
85123A,6,01-12-2022
85123A,3,01-12-2022
22197,3,01-12-2022
85099B,1,01-12-2022
85099B,10,01-12-2022
84991,24,01-12-2022
21977,24,01-12-2022
21212,24,01-12-2022
22197,72,01-12-2022
84879,80,01-12-2022
22492,36,01-12-2022
85099B,40,01-12-2022
85123A,32,01-12-2022
21977,1,01-12-2022
22197,2,01-12-2022
85099B,1,01-12-2022
85123A,4,01-12-2022
84991,3,01-12-2022
17003,3,01-12-2022
21212,8,01-12-2022
85099B,70,01-12-2022
85123A,128,01-12-2022
85099B,30,01-12-2022
85123A,128,01-12-2022
85099B,200,01-12-2022
17003,36,01-12-2022
85123A,6,01-12-2022
21212,12,01-12-2022
21977,21,01-12-2022
22197,34,01-12-2022
84879,8,01-12-2022
85099B,1,01-12-2022
85123A,9,01-12-2022
85123A,6,01-12-2022
22197,6,01-12-2022
84879,8,01-12-2023
22197,-12,01-12-2023
21212,24,01-12-2023
84879,24,01-12-2023
85099B,-1,01-12-2023
84879,8,01-12-2023
84077,48,01-12-2023
85123A,6,01-12-2023
84879,8,01-12-2023
22197,-1,01-12-2023
22197,15,01-12-2023
84879,8,01-12-2023
84879,16,01-12-2023
85123A,3,01-12-2023
84077,48,01-12-2023
22492,36,01-12-2023
22197,15,01-12-2023
85099B,5,01-12-2023
85099B,10,01-12-2023
85099B,1,01-12-2023
84077,6,01-12-2023
22197,4,01-12-2023
22197,10,01-12-2023
85123A,4,01-12-2023
17003,13,01-12-2023
84077,48,01-12-2023
22197,50,01-12-2023
85123A,2,01-12-2023
85123A,6,01-12-2023
85123A,8,01-12-2023
85099B,10,01-12-2023
85099B,100,01-12-2023
22197,36,01-12-2023
84077,48,01-12-2023
84879,16,01-12-2023
21212,5,01-12-2023
21977,1,01-12-2023
22197,91,01-12-2023
85099B,2,01-12-2023
85123A,1,01-12-2023
17003,1,01-12-2023
85099B,1,01-12-2023
85099B,20,01-12-2023
85123A,4,01-12-2023
22197,36,01-12-2023
85123A,6,01-12-2023
22197,2,01-12-2023
85123A,1,01-12-2023
22197,20,01-12-2023
21977,12,01-12-2023
85123A,6,02-02-2022
21212,48,02-02-2022
85123A,6,02-02-2022
85123A,12,02-02-2022
21977,4,02-02-2022
85123A,2,02-02-2022
85123A,1,02-02-2022
84991,24,02-02-2022
85123A,32,02-02-2022
21212,48,02-02-2022
21212,24,02-02-2022
85123A,20,02-02-2022
84879,80,02-02-2022
21977,24,02-02-2022
84991,24,02-02-2022
22197,12,02-02-2022
85123A,10,02-02-2022
85099B,2,02-02-2022
17003,36,02-02-2022
85123A,6,02-02-2022
21977,10,02-02-2022
85123A,6,02-02-2022
84077,48,02-02-2022
85123A,2,02-02-2022
85099B,1,02-02-2022
85123A,32,02-02-2022
84077,48,02-02-2022
85123A,32,02-02-2022
21212,120,02-02-2022
84991,120,02-02-2022
85099B,100,02-02-2023
85123A,6,02-02-2023
85099B,20,02-02-2023
84879,160,02-02-2023
84991,24,02-02-2023
85123A,32,02-02-2023
84879,32,02-02-2023
85123A,32,02-02-2023
85123A,64,02-02-2023
84879,24,02-02-2023
85099B,2,02-02-2023
22197,1,02-02-2023
85099B,1,02-02-2023
84879,8,02-02-2023
21977,1,02-02-2023
85123A,4,02-02-2023
22492,36,02-02-2023
84991,24,02-02-2023
85123A,24,02-02-2023
22197,5,02-02-2023
84077,4,02-02-2023
84991,4,02-02-2023
85099B,1,02-02-2023
85123A,3,02-02-2023
85099B,20,02-02-2023
85099B,100,02-02-2023
85123A,2,02-02-2023
84077,48,02-02-2023
85123A,6,02-02-2023
17003,36,02-02-2023
85123A,12,02-02-2023
85099B,36,02-02-2023
85123A,24,02-02-2023
17003,36,02-02-2023
85123A,6,02-02-2023
84077,48,02-02-2023
85123A,6,02-02-2023
85099B,30,02-02-2023
85123A,1,02-02-2023
21977,2,02-02-2023
21212,2,02-02-2023
22492,36,02-02-2023
84879,160,02-03-2022
85123A,12,02-03-2022
84991,2,02-03-2022
21212,2,02-03-2022
21977,3,02-03-2022
85123A,48,02-03-2022
21977,1,02-03-2022
17003,2,02-03-2022
84991,2,02-03-2022
85123A,3,02-03-2022
21212,3,02-03-2022
22197,7,02-03-2022
21977,1,02-03-2022
21212,1,02-03-2022
85123A,1,02-03-2022
21977,1,02-03-2022
84991,1,02-03-2022
21212,1,02-03-2022
84991,1,02-03-2022
21212,24,02-03-2022
17003,108,02-03-2022
85123A,12,02-03-2022
21212,24,02-03-2022
22197,24,02-03-2022
84077,48,02-03-2022
85123A,6,02-03-2022
84879,2,02-03-2022
85099B,2,02-03-2022
21212,1,02-03-2022
85099B,2,02-03-2022
84991,1,02-03-2022
85123A,6,02-03-2022
21212,24,02-03-2023
21977,24,02-03-2023
84991,24,02-03-2023
21212,24,02-03-2023
21977,24,02-03-2023
17003,36,02-03-2023
22197,100,02-03-2023
21212,1,02-03-2023
85099B,2,02-03-2023
84991,24,02-03-2023
21212,24,02-03-2023
84077,288,02-03-2023
21212,24,02-03-2023
22197,12,02-03-2023
22492,36,02-03-2023
85099B,10,02-03-2023
85123A,6,02-03-2023
85123A,3,02-03-2023
84879,6,02-03-2023
85123A,18,02-03-2023
85123A,6,02-03-2023
21977,24,02-03-2023
84991,24,02-03-2023
21212,24,02-03-2023
85099B,1,02-03-2023
85099B,3,02-03-2023
85123A,6,02-05-2022
85123A,4,02-05-2022
84077,48,02-05-2022
21212,24,02-05-2022
85123A,12,02-05-2022
85099B,10,02-05-2022
84879,8,02-05-2022
85123A,2,02-05-2022
21212,1,02-05-2022
84991,1,02-05-2022
84879,24,02-05-2022
84879,16,02-05-2022
85123A,32,02-05-2022
85099B,10,02-05-2022
21977,1,02-05-2022
85099B,1,02-05-2022
85123A,4,02-05-2022
21212,4,02-05-2022
84991,4,02-05-2022
84879,8,02-05-2022
84879,4,02-05-2022
21977,1,02-05-2022
84991,2,02-05-2022
22197,5,02-05-2022
85123A,3,02-05-2022
21977,24,02-05-2022
84991,24,02-05-2022
85123A,2,02-05-2022
85099B,5,02-05-2022
85099B,2,02-05-2022
84879,16,02-06-2022
85123A,6,02-06-2022
85123A,2,02-06-2022
21212,120,02-06-2022
21977,120,02-06-2022
85123A,32,02-06-2022
85099B,100,02-06-2022
85123A,6,02-06-2022
21212,24,02-06-2022
85123A,4,02-06-2022
85099B,10,02-06-2022
17003,6,02-06-2022
21212,2,02-06-2022
22492,1,02-06-2022
84991,3,02-06-2022
85099B,4,02-06-2022
85123A,3,02-06-2022
22197,24,02-06-2022
22492,36,02-06-2022
85123A,12,02-06-2022
85099B,1,02-06-2022
22197,1,02-06-2022
22197,1,02-06-2022
85123A,6,02-06-2022
85099B,10,02-06-2022
84879,16,02-06-2022
85123A,4,02-06-2022
85099B,200,02-06-2022
85099B,13,02-06-2022
84879,8,02-06-2023
22197,12,02-06-2023
21212,24,02-06-2023
21212,24,02-06-2023
85099B,10,02-06-2023
22197,6,02-06-2023
85099B,4,02-06-2023
85099B,2,02-06-2023
22197,2,02-06-2023
85099B,1,02-06-2023
85099B,3,02-06-2023
22197,1,02-06-2023
22197,6,02-06-2023
85099B,2,02-06-2023
84077,3,02-06-2023
85099B,10,02-06-2023
85123A,1,02-06-2023
85099B,10,02-06-2023
85123A,6,02-06-2023
22197,12,02-06-2023
85099B,10,02-06-2023
84879,8,02-06-2023
85123A,2,02-06-2023
85099B,100,02-06-2023
84879,8,02-06-2023
21212,24,02-06-2023
85123A,320,02-06-2023
84991,2,02-06-2023
21212,6,02-06-2023
